High card. [4S, 8C, 9H, TS, KC] < High card. [2S, 3S, 5D, 7D, AC]
High card. [8C, 9S, JH, QD, KD] > High card. [2C, 5C, 7C, JS, QS]

High card. [2S, 4S, 7H, 8D, TC] < One pair. [6H, 7S, 7C, 9C, KC]

High card. [4S, 5D, 7H, 8C, TD] < High card. [4H, 8S, JS, QC, KS]

High card. [6D, 8S, TD, JH, AD] < One pair. [2D, 6C, 7C, 7D, KD]

Two pair. [4H, 6H, 6S, JC, JS] > High card. [3C, 4C, 9H, QH, AH]

One pair. [5H, 6H, 7C, 7S, AS] < Two pair. [3D, 5D, 5C, KH, KC]

High card. [3D, 4D, TD, JC, AS] < One pair. [6D, 6S, JD, QH, KS]

One pair. [2S, 7S, 8C, 8S, QH] > High card. [5C, 7H, JD, QD, AH]

One pair. [2C, 3C, 6H, 6C, 8S] > One pair. [4C, 4D, 7D, 8D, TD]

High card. [2S, 5D, 7C, QH, KH] < One pair. [6D, 7H, JS, QC, QD]

One pair. [6C, 6S, 7D, TH, AD] < Flush of H. [2H, 4H, 6H, 8H, KH]

One pair. [2D, 5D, JS, KS, KD] > High card. [3D, 7D, 8C, 9C, KH]

High card. [3C, 6D, 9C, QD, KS] < High card. [2D, 3S, 7S, JD, AH]

One pair. [8S, JC, QH, AH, AS] > High card. [4C, 7D, 8H, TH, KC]

One pair. [5H, 5D, 7C, TD, JC] > High card. [4C, 8H, JS, KD, AD]

One pair. [2H, 7D, KC, AC, AH] > High card. [5D, 6D, 7S, JH, KH]

One pair. [5S, 6H, 8S, 9S, 9C] > High card. [6C, 9H, TD, JD, AC]

High card. [6D, 7D, 8S, TS, KD] < Two pair. [5S, 5D, 7H, 7C, AC]

High card. [4C, TC, JC, QC, AH] < One pair. [2H, 2C, 7D, 8C, TS]

One pair. [3D, 6S, 7D, KD, KC] > One pair. [2S, 3H, 5S, 5C, 8S]

One pair. [4C, 5D, 6H, 8S, 8H] < One pair. [3H, 5S, 7C, KC, KD]

One pair. [3D, 3C, 6C, 8C, JH] < One pair. [4C, 7H, 7C, TD, KC]

High card. [6H, TS, JC, QS, KC] < One pair. [8H, 8C, 9S, TD, KS]

High card. [5S, 6C, 7D, 9C, QH] < One pair. [2C, 9S, KS, KC, AH]

One pair. [4D, 4S, 8H, 9C, TD] > High card. [3S, 7D, 9D, TH, AS]

One pair. [3C, 5D, 6S, 6H, 7D] < One pair. [2C, 5C, 9D, 9C, KD]

One pair. [2H, 3D, 3H, KC, AD] < One pair. [4S, 8D, JC, QD, QS]

High card. [3H, 7C, 8C, 9C, AD] < One pair. [5D, 9D, JC, JS, AS]

One pair. [5D, 5C, 6S, 7H, 9H] < One pair. [6C, 9S, JC, QC, QD]

One pair. [2C, 6S, JC, JH, QS] > High card. [3D, 4S, 9C, TC, QC]

One pair. [3D, 4H, 4D, 5S, 8D] < Three of a kind. [2S, 2H, 2C, JS, KC]

One pair. [3S, 4D, TD, TH, KD] < One pair. [7H, JH, JS, KS, AC]

One pair. [2D, 7S, 8C, 8S, 9S] < One pair. [5C, 7D, 9D, AD, AS]

High card. [2S, 6C, 7H, 8C, TH] < One pair. [3H, 3S, 4C, 8H, AC]

One pair. [5H, 8H, JC, JD, KD] > High card. [2D, 4H, 5C, TD, JH]

High card. [3D, 7H, QH, KS, AS] < One pair. [5S, 5H, 6D, 8S, JD]

High card. [6S, 9S, TC, JC, QS] < One pair. [5C, 5D, 8C, 9C, TH]

High card. [2S, 3S, 5H, 9H, JH] < High card. [2C, 6S, 7S, KS, AS]

One pair. [8C, TC, JC, QD, QS] > High card. [4H, 6C, QC, KH, AC]

High card. [4H, 5H, 7D, TC, JH] < High card. [2H, 4D, 8D, JC, KS]

Two pair. [5S, 9C, 9H, KH, KD] > High card. [2D, 3D, 5C, 7D, TS]

High card. [4D, 5H, 8C, TC, AS] > High card. [2C, 3H, 8D, 9D, TS]

High card. [2D, 6H, 8D, 9H, JD] < Two pair. [4S, 5H, 5S, 6C, 6D]

High card. [6H, 7D, 9C, JC, AD] < One pair. [3C, 6D, 9S, 9H, JS]

High card. [4C, TC, JH, QS, AD] < One pair. [5D, 7C, 9S, 9C, AH]

High card. [2H, 6H, 8S, TH, KD] < One pair. [9D, 9H, QD, KS, AS]

One pair. [4H, 5H, 6C, 8H, 8D] < Three of a kind. [5S, 8S, AH, AS, AD]

High card. [2H, 4S, 5D, TD, QS] < High card. [3H, 5H, JC, KS, AC]

High card. [7D, 9C, QD, KD, AC] < Two pair. [5H, 5S, 6D, 6H, QH]

High card. [2H, 7D, QH, KC, AH] > High card. [3H, 7S, JD, QS, KS]

One pair. [3H, 6C, 6D, 8S, KS] > One pair. [5D, 5C, 8H, TC, QD]

Two pair. [4D, 4S, 6S, 9H, 9D] > High card. [4H, 6C, JD, QC, KH]

High card. [2D, 4S, 6H, TD, QH] < High card. [3C, 8C, JH, QD, KD]

High card. [4S, 6H, 7C, 9D, QD] < Three of a kind. [3C, 6S, AS, AH, AD]

High card. [2C, 6H, 8D, TH, KC] < One pair. [5C, 5D, 6D, 8S, AH]

One pair. [7C, TD, TS, JC, AD] > High card. [3C, 7H, 9H, QD, KC]

Two pair. [4D, 4H, 5D, 5S, 8H] > High card. [2D, 3H, 7D, JD, KD]

High card. [4S, 6H, TD, JH, QS] < One pair. [5C, 7D, 8S, 8H, KD]

One pair. [3D, 8C, TD, AC, AS] > High card. [5D, 6C, 7H, JD, KH]

High card. [6D, 7C, 9D, QH, KS] < One pair. [TC, JD, KD, KC, AS]

One pair. [5S, 7S, 7D, 8S, JH] < Two pair. [2D, 2H, 3D, AS, AD]

High card. [2H, 3C, 5D, QD, AS] < One pair. [2C, 6H, 9H, 9S, KC]

High card. [4C, 5D, 9D, TH, JH] < One pair. [3H, 8D, 8H, 9H, TC]

One pair. [2C, 2H, 6H, TD, KD] > High card. [2D, 6C, 8C, 9D, JS]

One pair. [3C, 7S, 7C, KD, AS] > High card. [2S, 8C, TS, QH, AD]

High card. [4C, 6C, 8H, JS, QS] < One pair. [9S, TD, TS, QC, AD]

One pair. [2H, 7C, 8C, TS, TC] > High card. [2D, 3C, 6D, 9H, JC]

High card. [2H, 8D, TC, JH, KS] < One pair. [3H, 6D, 8H, TD, TH]

One pair. [5D, 9D, 9H, TD, QC] > One pair. [6C, 8H, 8C, TS, KC]

High card. [2H, 3D, 4D, 8C, AH] < One pair. [7D, 8H, TH, TC, KC]

High card. [2D, 5C, 6S, 8C, TS] < One pair. [5H, 6H, KH, KC, AH]

One pair. [4C, 5S, 5D, TC, AH] < Two pair. [6H, 6C, 8D, 8C, JD]

High card. [2D, 3D, 8H, QD, KC] < High card. [2S, 4H, 9H, JC, AD]

High card. [6S, 7D, TD, JS, KD] > High card. [2S, 3S, 4H, 8C, QS]

High card. [3S, 4C, 9H, TS, JH] < One pair. [4H, 5S, 9S, 9C, QC]

One pair. [2C, 9H, 9S, JS, KD] > High card. [3H, 5D, TS, JC, AC]

Two pair. [2H, 5D, 5H, AS, AD] > One pair. [4C, 7S, TD, JC, JS]

High card. [2D, 3D, 4S, 7D, 8H] < High card. [2C, 9C, TS, KD, AD]

One pair. [5H, 7H, JH, JS, QD] > High card. [3D, 4C, 8H, TH, AC]

One pair. [5C, 6D, QD, KH, KC] < One pair. [2D, 4H, 7C, AD, AC]

High card. [3D, 8S, 9D, TC, QD] < One pair. [2C, 4H, JC, JD, AH]

One pair. [5S, 6C, 8S, TD, TC] < Three of a kind. [2C, 5D, AH, AS, AC]

High card. [3D, 6C, 7S, TH, AS] < Two pair. [4C, 4H, 7H, 7D, AH]

High card. [2H, 5C, 6H, 7S, KS] < One pair. [3D, 3C, 4H, 5H, 7H]

High card. [3C, 7S, 9S, QH, AC] < Three of a kind. [2H, 3D, 3S, 3H, 6S]

One pair. [2D, 2C, 3H, 6H, AS] < One pair. [6S, 6C, 9C, TC, JS]

One pair. [6D, QH, QD, KD, AC] > High card. [2C, 6H, 8C, TS, KH]

High card. [3S, 5D, 7D, 8H, 9H] < High card. [3H, 4S, 5H, 9S, QC]

High card. [2D, 3C, 6H, 7H, 9D] < One pair. [3S, 4D, 4S, 5H, 8S]

High card. [4S, 7S, 9S, TC, KD] > High card. [2H, 3S, 7H, 8S, QC]

One pair. [3D, 3H, 6C, 8C, TC] < One pair. [2H, 4D, 6H, KS, KD]

One pair. [3D, 3H, 9S, JS, KC] < One pair. [2D, 4S, 6C, 8H, 8S]

Two pair. [6H, 6C, TC, QS, QD] > One pair. [4D, 5H, 7D, 7C, 9H]

One pair. [6S, 6C, 8D, 9D, TD] < One pair. [5D, 8H, TC, TS, JS]

High card. [4H, 9H, TC, JD, KC] < High card. [2C, 5H, 6S, 8H, AS]

One pair. [5C, 6S, 9C, 9D, JS] > High card. [4C, 6D, 8H, JD, KC]

One pair. [4D, 6C, 7C, 8D, 8S] > High card. [5C, 6H, 7H, 8H, KC]

High card. [3D, 6D, TC, JC, KS] < One pair. [2C, 6H, 7S, 9S, 9C]

High card. [3S, 5H, 6C, TS, KD] < One pair. [6H, 7D, 9H, 9S, KH]

High card. [3D, 4C, 6H, TS, QD] < High card. [2H, 3S, 5C, KD, AC]

High card. [4C, 7C, 9S, JS, AS] > High card. [7H, 9H, TS, JC, KS]

High card. [3H, 4H, 6H, 8C, JD] < High card. [4S, 5S, 9S, KS, AD]

High card. [2C, 3D, 4C, 7D, AS] > High card. [2S, 6C, 9C, QS, KC]

High card. [2S, 3D, 5H, 8S, AC] > High card. [3S, 4D, 6S, 9D, TD]

One pair. [3D, 7S, TH, TS, QD] > High card. [5D, 6C, 7H, QC, AC]

One pair. [9C, TC, QD, QS, AD] > One pair. [3D, 3C, 5C, 8D, KD]

High card. [3S, 7C, 8H, 9D, AS] < One pair. [2D, 8S, 8D, JD, KC]

High card. [4C, TH, JS, QH, AC] < One pair. [7D, 7S, 8D, 9C, KH]

High card. [2C, 4C, 8D, 9D, JH] < High card. [2S, 4H, TS, QD, KD]

High card. [2D, 4D, 5D, 6D, JH] < One pair. [3S, 3H, 8S, TC, KH]

High card. [2C, 4D, 8C, QS, AD] < One pair. [5C, JH, JD, KD, AH]

One pair. [2H, 5C, 5H, 6C, JH] > High card. [3H, 4H, 7C, TC, KS]

High card. [3C, 4C, 5D, JH, QC] < High card. [8D, 9C, TC, QD, KH]

High card. [3H, 7H, 9C, JS, QH] < High card. [5H, 7C, 9H, JC, AS]

High card. [2D, 3C, 4S, 5S, QD] < One pair. [4C, 5C, 6S, 6C, KC]

High card. [2D, 5D, 8S, TS, KH] < One pair. [4C, 7C, 9C, 9S, AS]

One pair. [5S, 7C, 8C, 8D, AH] < One pair. [2C, JH, QH, QS, KD]

One pair. [2H, 8C, 9D, AH, AC] > High card. [2C, 5S, 7H, 8H, QC]

Three of a kind. [5S, 9H, QD, QS, QC] > High card. [4H, 5H, 9C, TH, JC]

Two pair. [3H, 3S, 5H, 6C, 6S] > High card. [6H, 7S, 8D, KS, AC]

High card. [4S, 7H, 8C, QH, AC] < One pair. [3D, 3S, 6C, TC, KC]

High card. [3D, 9D, TH, JS, AC] < One pair. [3H, 3S, 5H, 8S, TC]

One pair. [9S, JS, QD, KH, KS] < One pair. [3C, 8D, QC, AH, AC]

High card. [3S, 5H, 6C, 9S, KH] < High card. [2D, 8C, JH, QD, AS]

One pair. [4D, 5S, 6C, 7S, 7H] < One pair. [4H, 6S, 9H, JC, JH]

One pair. [5S, 6H, 9S, AH, AD] > High card. [2H, 3S, 8C, 9D, TH]

High card. [4C, 7C, 8D, 9H, QC] < High card. [4S, 5S, 9C, KC, AD]

One pair. [4D, 4C, 6H, 9D, TC] > High card. [2S, 3S, 5D, JH, AS]

High card. [2H, 5C, 6C, 7C, KH] < High card. [8S, TH, JD, QS, AD]

One pair. [3S, 4S, 7S, AH, AS] > High card. [2S, TH, JS, KC, AD]

High card. [2S, 7D, 8C, JS, KC] < Two pair. [5C, 5H, 9C, 9D, TS]

High card. [4D, 7S, 9S, TD, JH] < High card. [2C, 5D, 6H, JS, KH]

Three of a kind. [2D, TH, JD, JS, JC] > High card. [3D, 5H, 8C, QD, AC]

One pair. [5S, 5D, 7S, 9D, KH] > High card. [2D, 3C, 4S, 6H, TD]

One pair. [4S, 4D, 5D, 8D, AC] < Three of a kind. [7C, 9C, AD, AS, AH]

One pair. [2C, 6S, TH, TS, KS] < One pair. [3C, 4S, QC, AH, AS]

High card. [2H, 3S, 5C, 8C, JC] < One pair. [3H, 3C, 7C, JH, KH]

High card. [3H, 5S, 6H, 7S, JC] < One pair. [2S, 4C, 4D, 7H, KC]

One pair. [4D, 4H, 7C, 8S, 9S] < One pair. [6S, 6C, TC, JC, AD]

High card. [3S, 4C, TC, QS, KH] < One pair. [3C, 8H, 8S, TS, AC]

Two pair. [3C, TH, TS, QD, QS] > One pair. [7H, 7D, TD, JC, AH]

High card. [4D, 9S, TD, JD, QC] < Two pair. [7S, 7D, TS, AD, AC]

One pair. [4S, 6D, 7H, 7C, AH] > High card. [2H, 9D, TD, JC, KS]

High card. [4H, 6D, 7C, JD, AH] < One pair. [2H, 2C, 5C, TS, QS]

High card. [4C, 8C, 9S, TC, KC] < One pair. [3C, 6S, JS, JC, AH]

High card. [3D, 5S, 7D, QC, AS] < One pair. [9D, TD, JC, JD, KH]

High card. [2S, 3C, 6H, TH, AH] < One pair. [5H, 5C, 7S, 8H, AC]

Two pair. [2D, 2S, QC, QD, AC] > High card. [3S, 6S, 8H, JD, QS]

High card. [3C, 4H, 9D, JS, KC] < One pair. [3S, 6H, 8S, 8C, AS]

One pair. [2H, 7H, 7D, JD, KC] < One pair. [3H, 5S, JC, QH, QS]

High card. [3S, 7S, 8H, 9H, TD] < One pair. [5C, 6C, 7C, AC, AH]

High card. [8D, 9H, TD, JD, AH] > High card. [3S, 7D, 8S, 9C, QS]

High card. [3C, JD, QH, KC, AH] < One pair. [4S, 5S, 5D, TD, KS]

High card. [6S, 7H, 9H, TH, JH] < High card. [2D, 4C, 5C, 7C, AD]

High card. [5S, 7C, 9D, TC, KD] < One pair. [2S, 5D, 6S, 6C, TH]

High card. [5H, 7H, 8D, 9H, KC] < High card. [3D, 4H, 7C, QC, AS]

High card. [4S, 6S, 8S, TD, QC] < One pair. [2S, 5C, TH, QS, QD]

High card. [5H, 8S, 9H, TH, QC] < One pair. [5C, 6S, 7D, 7C, KC]

One pair. [4D, 7H, KD, KH, AH] > High card. [2D, 4S, 5C, QH, KC]

High card. [2C, 6S, TD, JC, AS] < One pair. [4D, 4H, 5S, 6C, 8C]

One pair. [5S, 6S, TC, JC, JD] < One pair. [3S, 8D, 9D, AS, AD]

Two pair. [5D, 5S, 6D, 6H, TC] > One pair. [3D, 7D, 9D, QS, QD]

High card. [3S, 4S, 6C, 7S, 8S] < One pair. [2D, 7D, 7C, KS, AD]

One pair. [JC, QH, QD, KC, AC] > One pair. [5D, 7H, 7D, 8D, QS]

High card. [3D, 5H, 8S, JS, AH] > High card. [3H, 4S, 6C, TD, JH]

High card. [4S, 7D, 9H, QS, AS] > High card. [5C, 6D, TC, JS, KS]

High card. [2D, 4D, 5C, 6H, TC] < High card. [3D, 6C, 8S, 9H, QH]

One pair. [5S, 6D, 7H, TC, TH] < One pair. [5C, 9C, JD, KS, KD]

High card. [4S, 6S, 8D, TD, QH] < High card. [5C, 6C, 8S, TC, KC]

High card. [3D, 4S, 5S, KS, AC] > High card. [2S, 4C, 7D, TH, QD]

High card. [6S, 7S, 8H, 9S, TS] < High card. [3C, 7H, 8C, QH, AH]

High card. [4C, 8C, TS, JS, QC] < One pair. [3D, 5D, 7D, 7S, JH]

High card. [7S, 8S, 9D, QC, AC] > High card. [2H, 6D, 7C, JH, KC]

High card. [3C, 4S, 6S, JS, KD] < High card. [5H, 7C, QC, KS, AH]

High card. [4H, 6S, JD, QS, KS] < High card. [6H, 8H, TC, KC, AS]

One pair. [6S, 7C, TC, TD, KH] > High card. [3S, 5C, 7D, JC, AH]

Two pair. [3H, 4C, 4H, TC, TH] > One pair. [6S, 6D, 7H, 9C, QH]

High card. [4S, 5H, 7D, 8C, JS] < High card. [3D, 4D, 8S, QH, KC]

One pair. [3H, 3S, 6S, 7H, AD] > High card. [4S, 7S, 8S, JS, QC]

High card. [3S, 6H, TH, JD, KH] < One pair. [2D, 6C, 9C, QS, QD]

One pair. [4S, 4D, 5H, QH, KC] > High card. [5S, 6D, 7D, 8D, TH]

High card. [6S, 7H, TD, KD, AD] < One pair. [5S, 9H, JC, KH, KC]

High card. [3H, 4S, TS, QC, AS] < One pair. [7S, 9C, QD, KS, KC]

Two pair. [6S, 6C, TS, TH, QC] > One pair. [5C, 5D, 9D, TC, KD]

One pair. [3S, 4H, 4C, JS, KD] < One pair. [6D, 9S, 9D, JC, QD]

One pair. [4H, 6D, 8S, JS, JH] < Full house. [6H, 6S, 6C, KS, KH]

High card. [5D, 7D, 9S, TC, AC] < One pair. [6S, 6H, QD, KH, AS]

High card. [6D, 7H, 8D, QH, AS] < One pair. [2S, 5C, 5H, TH, KH]

High card. [3D, 4C, 7C, TC, QC] < High card. [2D, 4S, 8C, JS, KH]

One pair. [5D, 5H, 6H, 7S, 9C] > High card. [7H, 8S, 9H, TH, JH]

High card. [2S, JS, QD, KH, AS] < Three of a kind. [4S, 8H, 8D, 8S, AC]

High card. [3H, 4C, 8C, TD, KD] < One pair. [2D, 5C, JC, JD, QS]

High card. [2C, 5D, 6C, 7D, TS] < High card. [2H, 3C, QS, KS, AH]

One pair. [4S, 7C, 7D, 9C, JH] > High card. [5C, 6C, 8H, 9D, QD]

High card. [2S, 6D, 7S, 9C, TD] < One pair. [5C, 9S, QS, QH, KH]

One pair. [6S, 9C, JC, JH, QH] > High card. [2H, 7S, 8D, JS, KH]

High card. [4D, 5H, 8D, TH, KC] < One pair. [3S, 3D, 4S, 6S, QS]

High card. [2D, 4C, 7C, TD, JD] < High card. [6D, 7S, TH, JC, AH]

High card. [4C, 7S, 9D, TH, QS] < High card. [3H, 4D, 6H, TS, AD]

One pair. [2D, 3H, 3D, 7D, JD] > High card. [2S, 8S, 9C, QC, AS]

One pair. [2C, 4H, 7S, 9H, 9C] > One pair. [5C, 5D, 6H, JH, KD]

High card. [3C, 8H, 9H, TC, JC] < One pair. [8D, 9S, KS, KC, AD]

One pair. [5H, TS, JD, QS, QH] > High card. [5D, 8D, QC, KH, AH]

High card. [4C, 5D, 6S, 8S, AS] < One pair. [7H, TH, QC, QD, AH]

One pair. [3H, 4H, 4S, 6S, 7D] < One pair. [8H, 9H, 9D, JS, AS]

High card. [2C, 7D, 8C, 9D, JD] < One pair. [5H, 5S, 9S, JC, KD]

High card. [4S, 9C, QD, KD, AH] < One pair. [7C, 9D, TD, AD, AC]

One pair. [4H, 4S, 6S, 8D, 9C] > High card. [7C, 9D, TC, JH, KS]

One pair. [4S, 5S, 5H, JC, QH] > One pair. [2C, 2S, 9S, JS, AC]

One pair. [5H, 8C, QD, AS, AD] > High card. [5C, 7D, 8S, TD, QC]

High card. [4C, 5C, 8D, JC, KH] < One pair. [2H, 2C, 4D, 6H, QS]

High card. [2D, 3H, 4S, TH, KC] < One pair. [7H, 9D, QD, AC, AD]

High card. [8H, TH, QD, KH, AS] < One pair. [7S, 8D, 8C, QH, KC]

High card. [6C, 7D, 8C, JC, KH] < One pair. [2H, 2D, 6S, QS, AD]

One pair. [2D, 7D, JC, JS, KH] > One pair. [4C, 5H, 5D, QC, AD]

One pair. [3S, 4S, TS, TD, AD] > High card. [2D, 6S, 9H, TH, JH]

One pair. [2D, 2C, 4S, 9H, QS] < One pair. [3D, 9D, KH, AS, AC]

One pair. [4S, 6S, 8H, KH, KD] > One pair. [7D, 9D, TS, QD, QC]

One pair. [5H, JH, KS, AH, AS] > High card. [5S, JC, QC, KH, AD]

One pair. [5D, 6D, 7D, KS, KD] > One pair. [3D, 3S, 4D, 7C, JD]

High card. [5H, 8D, 9C, JS, AC] < One pair. [2C, 3H, 4H, 4D, TS]

One pair. [6H, 7C, 9D, KS, KH] > One pair. [2S, 2H, 3D, 6S, 8S]

High card. [3S, 6H, 7S, JS, AC] < One pair. [3H, 4H, 8H, TD, TH]

High card. [5C, 9H, TC, QC, KC] < High card. [4H, 6H, 8S, KS, AC]

High card. [4S, 7D, TC, JC, QH] < One pair. [6D, 6C, TS, KH, AC]

Two pair. [7D, 7C, JH, QH, QS] > High card. [3H, 5D, TH, QD, KS]

High card. [3D, 4C, 5S, 8D, JS] < High card. [2C, 4H, 7H, 9C, KS]

High card. [2C, 4H, 5H, 8S, TD] < Two pair. [3S, 3H, QD, QC, KC]

High card. [9C, JS, QC, KD, AD] < One pair. [5S, 7D, 7H, 9D, TS]

One pair. [7C, 7S, 8C, JC, KH] < One pair. [2C, 6C, TS, TH, QD]

